id,name_ja,name_en,category,definition,why_it_works,example,keywords
14,親近性バイアス,Familiarity Bias,bias,以前に経験したデザインや機能に親しみを感じる傾向,既知のものは安全と感じる心理,一般的なUIパターンの採用,慣れ 既知 パターン 安心 使いやすい
15,段階的要請,Foot in the Door Effect,conversion,小さなお願いを受け入れた後、より大きなお願いも受け入れやすくなる,一貫性を保とうとする心理,メール登録→無料トライアル→有料プランの段階,段階 小さい 大きい 要請 コミットメント
16,フレーミング効果,Framing,pricing,情報の提示方法によって判断が左右される現象,同じ情報でも表現次第で印象が変わる,「90%成功」vs「10%失敗」の表現の違い,表現 言い方 印象 伝え方 ポジティブ
17,ゲーミフィケーション,Gamification,engagement,ゲームの要素を取り入れてモチベーション向上を促すアプローチ,達成感や競争心が行動を促進する,ポイント、バッジ、ランキング、進捗バー,ゲーム ポイント バッジ レベル 達成
18,目標勾配効果,Goal Gradient Effect,onboarding,目標に近づくにつれ行動や努力を加速させる現象,ゴールが見えると動機付けが高まる,進捗バーで完了までの距離を可視化,目標 進捗 ゴール モチベーション 加速
19,ハロー効果,Halo Effect,bias,一つの良い印象が全体の評価を高める現象,ポジティブな特徴が他の評価に波及する,有名人の推薦やブランドロゴの効果,印象 評価 信頼 ブランド 権威
20,観察効果,Hawthorne Effect,bias,観察されている自覚によって行動を変える傾向,注目されると意識的にパフォーマンスを上げる,ユーザーテストでの本音と建前の乖離,観察 テスト 行動変化 意識 パフォーマンス
21,意図的な壁,Intentional Friction,conversion,意図的にユーザーの行動を妨げるステップを設けるデザイン手法,慎重な判断を促したり誤操作を防ぐ,アカウント削除前の確認画面,確認 防止 慎重 ステップ 誤操作
22,労働の錯覚,Labor Illusion,conversion,労力がかかっているように見せることで価値を高く感じさせる現象,努力の可視化が価値認識を高める,検索中のアニメーション表示、処理中画面,努力 価値 処理 アニメーション 待機
23,損失回避,Loss Aversion,pricing,潜在的な損失を避けようとする傾向,人は利益を得るより損失を避けたい,「今だけ」「残りわずか」の表示,損失 避ける 緊急 限定 逃す
24,ナッジ効果,Nudge,conversion,非強制的に望ましい方向へ誘導するデザイン手法,選択の自由を保ちながら良い選択を促す,エコバッグ利用を促すレジでの声かけ,誘導 促す 選択 自然 デフォルト
25,ピーク・エンドの法則,Peak-End Rule,engagement,体験の最高の瞬間と終わりの瞬間を重視する法則,記憶は平均ではなくピークと終わりで形成される,サービス終了時の特別なメッセージや特典,記憶 体験 終わり ピーク 印象
26,プライミング効果,Priming,bias,先に受けた刺激がその後の行動に影響すること,無意識的な連想が判断に影響する,高級感のある画像表示後の価格表示,刺激 影響 無意識 連想 準備
27,段階的開示,Progressive Disclosure,onboarding,情報や機能を段階的に表示するUXデザイン手法,必要な時に必要な情報だけを提供,初心者向けシンプル画面→上級者向け詳細設定,段階 情報 表示 シンプル 詳細
28,ピグマリオン効果,Pygmalion Effect,onboarding,期待や信念を持っている場合、その期待が現実となる傾向,期待がパフォーマンスに影響する,「あなたならできる」というメッセージ表示,期待 信念 達成 自信 モチベーション
29,誘導抵抗,Reactance,bias,制約や制限を感じたときに生じる心理的反発,自由を奪われることへの抵抗,強制的なポップアップへの反感,反発 制限 自由 強制 抵抗
30,反応型オンボーディング,Reactive Onboarding,onboarding,ユーザーの行動やニーズに応じて表示されるオンボーディング,必要なタイミングで必要な情報を提供,機能を初めて使う時にだけチュートリアル表示,オンボーディング 反応 タイミング ヘルプ ガイド
31,希少性効果,Scarcity,pricing,入手困難だと感じると価値を高く見出す効果,希少なものは価値があるという心理,「残り3点」「本日限定」の表示,限定 希少 残り わずか 緊急
32,選択的注意,Selective Attention,cognitive,目的に沿った情報に集中し他を無視する傾向,認知能力の限界から情報を取捨選択,ユーザーのタスクに関連する情報のみハイライト,注意 集中 無視 フォーカス 情報
33,系列位置効果,Serial Position Effect,cognitive,リストの最初と最後の項目が記憶に残りやすい現象,初頭効果と親近効果の組み合わせ,メニューの最初と最後に重要な項目を配置,リスト 順番 最初 最後 記憶
34,スキューモーフィズム,Skeuomorphism,visual,デジタルインターフェースが現実世界の物体を模倣するデザイン,既知の物体との類似性で理解を促進,メモアプリの紙のような見た目,模倣 現実 デザイン 直感 理解
35,社会的証明,Social Proof,conversion,他者の意見や行動に影響を受ける心理現象,不確実な状況で他者の行動を参考にする,レビュー数、ユーザー数、「〇〇人が購入」,レビュー 評価 人気 他者 信頼
36,サンクコスト効果,Sunk Cost Effect,engagement,過去の投資を正当化するためにさらに投資を続ける傾向,投資した時間や労力を無駄にしたくない,ゲームの課金継続、サブスクの解約躊躇,投資 継続 もったいない 時間 お金
37,調査バイアス,Survey Bias,bias,調査結果が母集団を正確に反映していない状態,質問の仕方や回答者の偏りが結果に影響,誘導的な質問を避けたアンケート設計,調査 バイアス 質問 偏り 正確
38,誘惑の結びつけ,Temptation Bundling,engagement,好きな活動と苦手なタスクを一緒に行う手法,報酬との組み合わせで難しいタスクを容易に,運動しながら好きなポッドキャストを聴く,組み合わせ 報酬 動機 タスク 楽しい
39,ユーザー歓喜効果,User Delight,engagement,ユーザーが感じる喜びや驚きの瞬間,期待を超える体験が感情的なつながりを生む,マイクロインタラクション、イースターエッグ,喜び 驚き 感動 体験 期待超え
40,変動型報酬,Variable Reward,engagement,予測できない報酬で興味や継続性を高める効果,不確実性がドーパミン分泌を促進,SNSの「いいね」通知、TikTokのフィード,報酬 予測不能 継続 興味 ドーパミン
41,ビジュアル・アンカー,Visual Anchor,visual,視覚的な強調でユーザーの注意を引き付けるデザイン原則,色・サイズ・コントラストで視線を誘導,CTAボタンの色を目立たせる,視覚 強調 注目 色 サイズ
42,視覚的階層,Visual Hierarchy,visual,デザイン要素を配置し情報を視覚的に優先順位付けする手法,視覚的な重み付けで情報の重要度を伝える,見出しの大きさ、余白、コントラストの活用,階層 優先順位 レイアウト 配置 重要度
43,ツァイガルニク効果,Zeigarnik Effect,onboarding,未完了のタスクが完了したタスクよりも記憶に残る現象,未完了の緊張感が記憶を強化,プロフィール完成度の表示で入力を促す,未完了 記憶 完了 タスク 進捗
44,美的ユーザビリティ効果,Aesthetic-Usability Effect,visual,美しいデザインが使いやすさの印象を向上させる,視覚的な魅力が全体的な評価に影響,洗練されたUIによるユーザビリティ印象の向上,美しさ 使いやすさ デザイン 印象 UI
45,確証バイアス,Confirmation Bias,bias,既存の信念に合う情報を優先的に受け入れる傾向,認知的不協和を避けようとする心理,ユーザーの期待に沿った情報設計,信念 偏り 情報 選択 判断
46,プライミング効果,Priming,bias,先行刺激が後続の判断や行動に影響を与える現象,無意識的な連想が働く,高品質な画像表示後の商品紹介,先行 刺激 影響 連想 無意識
47,ハロー効果,Halo Effect,bias,一つの特徴への好印象が全体評価を高める現象,認知バイアスによる評価の一般化,ブランドロゴや有名人推薦の活用,印象 評価 全体 ブランド 信頼
